subpractice_id,nbs_id,name,definition,suitability_family_id,dominant_limiting_factor,spatial_product_type,grouping_rationale,references
alley_cropping,agroforestry,Alley cropping,Planted rows of woody perennials with annual crops cultivated in the alleys between them.,agroforestry__planted_silvoarable,Arable biophysical envelope + machinery/management access on cultivable land.,area_suitability,"Planted silvoarable systems on cultivable land share a slope/soil/rainfall envelope and a management-access constraint; grouped by that shared limiting factor, not by tree species.","[""Nair 1993"", ""Zomer et al. 2014""]"
tree_intercropping,agroforestry,Tree intercropping,Planted trees dispersed within or among annual crops on cultivable land.,agroforestry__planted_silvoarable,Arable biophysical envelope + management access on cultivable land.,area_suitability,Same planted-on-cropland envelope as alley cropping; same dominant limiting factor.,"[""Nair 1993""]"
planted_boundary_cropland,agroforestry,Planted boundary / live fence on cropland,Deliberately planted tree/shrub lines on the boundaries of cultivated fields.,agroforestry__planted_silvoarable,Arable biophysical envelope + management access; established by planting.,area_suitability,"Planted establishment on cropland places it in the silvoarable envelope family (distinct from F4, where the limiting factor is linear placement geometry rather than the arable envelope).","[""Nair 1993""]"
fmnr,agroforestry,Farmer-managed natural regeneration (FMNR),"Re-establishing tree cover by protecting and managing natural regrowth from living stumps, roots and seed, rather than planting.",agroforestry__regeneration_farmland,"Regeneration potential — remnant rootstock, seedbank, seed-source proximity, and tenure security to protect regrowth.",area_suitability,"Limited by regeneration potential, not the planting envelope; a different variable set (woody-cover baseline/change, seed-source distance, tenure), so it cannot be an override of F1.","[""Reij & Garrity 2016""]"
parkland_retention,agroforestry,Parkland tree retention,Retaining/regenerating scattered mature trees on cropland (e.g. Faidherbia parkland) by protecting natural regeneration.,agroforestry__regeneration_farmland,"Regeneration potential + tenure (retention/ANR), not deliberate planting.",area_suitability,"Retained parkland is regeneration-driven (kin to ANR/FMNR); a planted parkland would instead sit in F1. Keyed by establishment driver, not appearance.","[""Reij & Garrity 2016""]"
anr_on_farm,agroforestry,Assisted natural regeneration on farmland,"Active assistance (weeding, protection, thinning) to accelerate natural regeneration on farmland.",agroforestry__regeneration_farmland,"Regeneration potential — seedbank/rootstock, seed source, tenure.",area_suitability,Same regeneration-potential limiting factor as FMNR and parkland retention.,"[""Reij & Garrity 2016""]"
planted_silvopasture,agroforestry,Planted silvopasture,Deliberate integration of planted trees with pasture and grazing livestock.,agroforestry__silvopastoral,Biophysical envelope PLUS grazing context and forage/livestock variables.,area_suitability,"Needs additional variables (forage, grazing pressure, livestock) beyond the silvoarable envelope; overrides only re-parameterise existing variables, so it is its own family.","[""Nair 1993""]"
agrosilvopasture,agroforestry,Agrosilvopasture,Combined trees + crops + livestock on the same land unit.,agroforestry__silvopastoral,Envelope + grazing context + forage/livestock variables.,area_suitability,Shares the grazing-context limiting factor with planted silvopasture.,"[""Nair 1993""]"
windbreaks_shelterbelts,agroforestry,Windbreaks & shelterbelts,Tree/shrub lines positioned to reduce wind exposure across fields.,agroforestry__linear_boundary,Linear-feature geometry — wind exposure and field-boundary placement.,applicability_zone,"Placement (line within a candidate zone) is the limiting logic, not arable envelope; footprint reported as candidate length/density, never pixel area.","[""Brandle et al. 2004""]"
contour_vegetative_buffers,agroforestry,Contour & vegetative buffers,Tree/shrub lines along contours or slope-flow lines to reduce erosion and runoff.,agroforestry__linear_boundary,Linear-feature geometry — slope/flow lines + boundary placement.,applicability_zone,Same linear-placement limiting factor as windbreaks; candidate length/density footprint.,"[""Nair 1993""]"
